Matthew 1:1	The book of the lineage of Jesus Christ, the son of David, the son of Abraham.
John 6:28	Therefore, they said to him, “What should we do, so that we may labor in the works of God?”
John 6:29	Jesus responded and said to them, “This is the work of God, that you believe in him whom he sent.”
John 6:30	And so they said to him: “Then what sign will you do, so that we may see it and believe in you? What will you work?
John 6:31	Our fathers ate manna in the desert, just as it has been written, ‘He gave them bread from heaven to eat.’ ”
John 6:32	Therefore, Jesus said to them: “Amen, amen, I say to you, Moses did not give you bread from heaven, but my Father gives you the true bread from heaven.
John 6:33	For the bread of God is he who descends from heaven and gives life to the world.”
John 6:34	And so they said to him, “Lord, give us this bread always.”
John 6:35	Then Jesus said to them: “I am the bread of life. Whoever comes to me shall not hunger, and whoever believes in me shall never thirst.
John 6:36	But I say to you, that even though you have seen me, you do not believe.
John 6:37	All that the Father gives to me shall come to me. And whoever comes to me, I will not cast out.
John 6:38	For I descended from heaven, not to do my own will, but the will of him who sent me.
John 6:39	Yet this is the will of the Father who sent me: that I should lose nothing out of all that he has given to me, but that I should raise them up on the last day.
John 6:40	So then, this is the will of my Father who sent me: that everyone who sees the Son and believes in him may have eternal life, and I will raise him up on the last day.”
John 6:41	Therefore, the Jews murmured about him, because he had said: “I am the living bread, who descended from heaven.”
John 6:42	And they said: “Is this not Jesus, the son of Joseph, whose father and mother we know? Then how can he say: ‘For I descended from heaven?’ ”
John 6:43	And so Jesus responded and said to them: “Do not choose to murmur among yourselves.
John 6:44	No one is able to come to me, unless the Father, who has sent me, has drawn him. And I will raise him up on the last day.
John 6:45	It has been written in the Prophets: ‘And they shall all be taught by God.’ Everyone who has listened and learned from the Father comes to me.
John 6:46	Not that anyone has seen the Father, except he who is from God; this one has seen the Father.
John 6:47	Amen, amen, I say to you, whoever believes in me has eternal life.
John 6:48	I am the bread of life.
John 6:49	Your fathers ate manna in the desert, and they died.
John 6:50	This is the bread which descends from heaven, so that if anyone will eat from it, he may not die.
John 6:51	I am the living bread, who descended from heaven. If anyone eats from this bread, he shall live in eternity. And the bread that I will give is my flesh, for the life of the world.”
John 6:52	Therefore, the Jews debated among themselves, saying, “How can this man give us his flesh to eat?”
John 6:53	And so, Jesus said to them: “Amen, amen, I say to you, unless you eat the flesh of the Son of man and drink his blood, you will not have life in you.
John 6:54	Whoever eats my flesh and drinks my blood has eternal life, and I will raise him up on the last day.
John 6:55	For my flesh is true food, and my blood is true drink.
John 6:56	Whoever eats my flesh and drinks my blood abides in me, and I in him.
John 6:57	Just as the living Father has sent me and I live because of the Father, so also whoever eats me, the same shall live because of me.
John 6:58	This is the bread that descends from heaven. It is not like the manna that your fathers ate, for they died. Whoever eats this bread shall live forever.”
John 6:59	He said these things when he was teaching in the synagogue at Capernaum.
John 6:60	Therefore, many of his disciples, upon hearing this, said: “This saying is difficult,” and, “Who is able to listen to it?”
John 6:61	But Jesus, knowing within himself that his disciples were murmuring about this, said to them: “Does this offend you?
John 6:62	Then what if you were to see the Son of man ascending to where he was before?
John 6:63	It is the Spirit who gives life. The flesh does not offer anything of benefit. The words that I have spoken to you are spirit and life.
John 6:64	But there are some among you who do not believe.” For Jesus knew from the beginning who were unbelieving and which one would betray him.
John 6:65	And so he said, “For this reason, I said to you that no one is able to come to me, unless it has been given to him by my Father.”
John 6:66	After this, many of his disciples went back, and they no longer walked with him.
John 6:67	Therefore, Jesus said to the twelve, “Do you also want to go away?”
John 6:68	Then Simon Peter answered him: “Lord, to whom would we go? You have the words of eternal life.
John 6:69	And we have believed, and we recognize that you are the Christ, the Son of God.”
John 6:70	Jesus answered them: “Have I not chosen you twelve? And yet one among you is a devil.”
John 6:71	Now he was speaking about Judas Iscariot, the son of Simon. For this one, even though he was one of the twelve, was about to betray him.
John 7:1	Then, after these things, Jesus was walking in Galilee. For he was not willing to walk in Judea, because the Jews were seeking to kill him.
John 7:2	Now the feast day of the Jews, the Feast of Tabernacles, was near.
John 7:3	And his brothers said to him: “Move away from here and go into Judea, so that your disciples there may also see your works that you do.
John 7:4	Of course, no one does anything in secret, but he himself seeks to be in the public view. Since you do these things, manifest yourself to the world.”
John 7:5	For neither did his brothers believe in him.
John 7:6	Therefore, Jesus said to them: “My time has not yet come; but your time is always at hand.
John 7:7	The world cannot hate you. But it hates me, because I offer testimony about it, that its works are evil.
John 7:8	You may go up to this feast day. But I am not going up to this feast day, because my time has not yet been fulfilled.”
John 7:9	When he had said these things, he himself remained in Galilee.
John 7:10	But after his brothers went up, then he also went up to the feast day, not openly, but as if in secret.
John 7:11	Therefore, the Jews were seeking him on the feast day, and they were saying, “Where is he?”
John 7:12	And there was much murmuring in the crowd concerning him. For certain ones were saying, “He is good.” But others were saying, “No, for he seduces the crowds.”
John 7:13	Yet no one was speaking openly about him, out of fear of the Jews.
John 7:14	Then, about the middle of the feast, Jesus ascended into the temple, and he was teaching.
John 7:15	And the Jews wondered, saying: “How does this one know letters, though he has not been taught?”
John 7:16	Jesus responded to them and said: “My doctrine is not of me, but of him who sent me.
John 7:17	If anyone has chosen to do his will, then he will realize, about the doctrine, whether it is from God, or whether I am speaking from myself.
John 7:18	Whoever speaks from himself seeks his own glory. But whoever seeks the glory of him who sent him, this one is true, and injustice is not in him.
John 7:19	Did not Moses give you the law? And yet not one among you keeps the law!
John 7:20	Why are you seeking to kill me?” The crowd responded and said: “You must have a demon. Who is seeking to kill you?”
John 7:21	Jesus responded and said to them: “One work have I done, and you all wonder.
John 7:22	For Moses gave you circumcision, (not that it is of Moses, but of the fathers) and on the Sabbath you circumcise a man.
John 7:23	If a man can receive circumcision on the Sabbath, so that the law of Moses may not be broken, why are you indignant toward me, because I have made a man whole on the Sabbath?
John 7:24	Do not judge according to appearances, but instead judge a just judgment.”
John 7:25	Therefore, some of those from Jerusalem said: “Is he not the one whom they are seeking to kill?
John 7:26	And behold, he is speaking openly, and they say nothing to him. Could the leaders have decided that it is true this one is the Christ?
John 7:27	But we know him and where he is from. And when the Christ has arrived, no one will know where he is from.”
John 7:28	Therefore, Jesus cried out in the temple, teaching and saying: “You know me, and you also know where I am from. And I have not arrived of myself, but he who sent me is true, and him you do not know.
John 7:29	I know him. For I am from him, and he has sent me.”
John 7:30	Therefore, they were seeking to apprehend him, and yet no one laid hands on him, because his hour had not yet come.
John 7:31	But many among the crowd believed in him, and they were saying, “When the Christ arrives, will he perform more signs than this man does?”
John 7:32	The Pharisees heard the crowd murmuring these things about him. And the leaders and the Pharisees sent attendants to apprehend him.
John 7:33	Therefore, Jesus said to them: “For a brief time, I am still with you, and then I am going to him who sent me.
John 7:34	You shall seek me, and you will not find me. And where I am, you are not able to go.”
John 7:35	And so the Jews said among themselves: “Where is this place to which he will go, such that we will not find him? Will he go to those dispersed among the Gentiles and teach the Gentiles?
John 7:36	What is this word that he spoke, ‘You will seek me and you will not find me; and where I am, you are not able to go?’ ”
John 7:37	Then, on the last great day of the feast, Jesus was standing and crying out, saying: “If anyone thirsts, let him come to me and drink:
John 7:38	whoever believes in me, just as Scripture says, ‘From his chest shall flow rivers of living water.’ ”
John 7:39	Now he said this about the Spirit, which those who believe in him would soon be receiving. For the Spirit had not yet been given, because Jesus had not yet been glorified.
John 7:40	Therefore, some from that crowd, when they had heard these words of his, were saying, “This one truly is the Prophet.”
John 7:41	Others were saying, “He is the Christ.” Yet certain ones were saying: “Does the Christ come from Galilee?
John 7:42	Does Scripture not say that the Christ comes from the offspring of David and from Bethlehem, the town where David was?”
John 7:43	And so there arose a dissension among the multitude because of him.
John 7:44	Now certain ones among them wanted to apprehended him, but no one laid hands upon him.
John 7:45	Therefore, the attendants went to the high priests and the Pharisees. And they said to them, “Why have you not brought him?”
John 7:46	The attendants responded, “Never has a man spoken like this man.”
John 7:47	And so the Pharisees answered them: “Have you also been seduced?
John 7:48	Have any of the leaders believed in him, or any of the Pharisees?
John 7:49	But this crowd, which does not know the law, they are accursed.”
John 7:50	Nicodemus, the one who came to him by night and who was one of them, said to them,
John 7:51	“Does our law judge a man, unless it has first heard him and has known what he has done?”
John 7:52	They responded and said to him: “Are you also a Galilean? Study the Scriptures, and see that a prophet does not arise from Galilee.”
John 7:53	And each one returned to his own house.
John 8:1	But Jesus continued on to the Mount of Olives.
John 8:2	And early in the morning, he went again to the temple; and all the people came to him. And sitting down, he taught them.
John 8:3	Now the scribes and Pharisees brought forward a woman caught in adultery, and they stood her in front of them.
John 8:4	And they said to him: “Teacher, this woman was just now caught in adultery.
John 8:5	And in the law, Moses commanded us to stone such a one. Therefore, what do you say?”
John 8:6	But they were saying this to test him, so that they might be able to accuse him. Then Jesus bent down and wrote with his finger on the earth.
John 8:7	And then, when they persevered in questioning him, he stood upright and said to them, “Let whoever is without sin among you be the first to cast a stone at her.”
John 8:8	And bending down again, he wrote on the earth.
John 8:9	But upon hearing this, they went away, one by one, beginning with the eldest. And Jesus alone remained, with the woman standing in front of him.
John 8:10	Then Jesus, raising himself up, said to her: “Woman, where are those who accused you? Has no one condemned you?”
John 8:11	And she said, “No one, Lord.” Then Jesus said: “Neither will I condemn you. Go, and now do not choose to sin anymore.”
John 8:12	Then Jesus spoke to them again, saying: “I am the light of the world. Whoever follows me does not walk in darkness, but shall have the light of life.”
John 8:13	And so the Pharisees said to him, “You offer testimony about yourself; your testimony is not true.”
John 8:14	Jesus responded and said to them: “Even though I offer testimony about myself, my testimony is true, for I know where I came from and where I am going.
John 8:15	You judge according to the flesh. I do not judge anyone.
John 8:16	And when I do judge, my judgment is true. For I am not alone, but it is I and he who sent me: the Father.
John 8:17	And it is written in your law that the testimony of two men is true.
John 8:18	I am one who offers testimony about myself, and the Father who sent me offers testimony about me.”
John 8:19	Therefore, they said to him, “Where is your Father?” Jesus answered: “You know neither me, nor my Father. If you did know me, perhaps you would know my Father also.”
John 8:20	Jesus spoke these words at the treasury, while teaching in the temple. And no one apprehended him, because his hour had not yet come.
John 8:21	Therefore, Jesus again spoke to them: “I am going, and you shall seek me. And you will die in your sin. Where I am going, you are not able to go.”
John 8:22	And so the Jews said, “Is he going to kill himself, for he said: ‘Where I am going, you are not able to go?’ ”
John 8:23	And he said to them: “You are from below. I am from above. You are of this world. I am not of this world.
John 8:24	Therefore, I said to you, that you will die in your sins. For if you will not believe that I am, you will die in your sin.”
John 8:25	And so they said to him, “Who are you?” Jesus said to them: “The Beginning, who is also speaking to you.
John 8:26	I have much to say about you and to judge. But he who sent me is true. And what I have heard from him, this I speak within the world.”
John 8:27	And they did not realize that he was calling God his Father.
John 8:28	And so Jesus said to them: “When you will have lifted up the Son of man, then you shall realize that I am, and that I do nothing of myself, but just as the Father has taught me, so do I speak.
John 8:29	And he who sent me is with me, and he has not abandoned me alone. For I always do what is pleasing to him.”
John 8:30	As he was speaking these things, many believed in him.
John 8:31	Therefore, Jesus said to those Jews who believed in him: “If you will abide in my word, you will truly be my disciples.
John 8:32	And you shall know the truth, and the truth shall set you free.”
John 8:33	They answered him: “We are the offspring of Abraham, and we have never been a slave to anyone. How can you say, ‘You shall be set free?’ ”
John 8:34	Jesus answered them: “Amen, amen, I say to you, that everyone who commits sin is a slave of sin.
John 8:35	Now the slave does not abide in the house for eternity. Yet the Son does abide in eternity.
John 8:36	Therefore, if the Son has set you free, then you will truly be free.
John 8:37	I know that you are sons of Abraham. But you are seeking to kill me, because my word has not taken hold in you.
John 8:38	I speak what I have seen with my Father. And you do what you have seen with your father.”
John 8:39	They responded and said to him, “Abraham is our father.” Jesus said to them: “If you are the sons of Abraham, then do the works of Abraham.
John 8:40	But now you are seeking to kill me, a man who has spoken the truth to you, which I have heard from God. This is not what Abraham did.
John 8:41	You do the works of your father.” Therefore, they said to him: “We were not born out of fornication. We have one father: God.”
John 8:42	Then Jesus said to them: “If God were your father, certainly you would love me. For I proceeded and came from God. For I did not come from myself, but he sent me.
John 8:43	Why do you not recognize my speech? It is because you are not able to hear my word.
John 8:44	You are of your father, the devil. And you will carry out the desires of your father. He was a murderer from the beginning. And he did not stand in the truth, because the truth is not in him. When he speaks a lie, he speaks it from his own self. For he is a liar, and the father of lies.
John 8:45	But if I speak the truth, you do not believe me.
John 8:46	Which of you can convict me of sin? If I speak the truth to you, why do you not believe me?
John 8:47	Whoever is of God, hears the words of God. For this reason, you do not hear them: because you are not of God.”
John 8:48	Therefore, the Jews responded and said to him, “Are we not correct in saying that you are a Samaritan, and that you have a demon?”
John 8:49	Jesus responded: “I do not have a demon. But I honor my Father, and you have dishonored me.
John 8:50	But I am not seeking my own glory. There is One who seeks and judges.
John 8:51	Amen, amen, I say to you, if anyone will have kept my word, he will not see death for eternity.”
John 8:52	Therefore, the Jews said: “Now we know that you have a demon. Abraham is dead, and the Prophets; and yet you say, ‘If anyone will have kept my word, he shall not taste death for eternity.’
John 8:53	Are you greater than our father Abraham, who is dead? And the prophets are dead. So who do you make yourself to be?”
John 8:54	Jesus responded: “If I glorify myself, my glory is nothing. It is my Father who glorifies me. And you say about him that he is your God.
John 8:55	And yet you have not known him. But I know him. And if I were to say that I do not know him, then I would be like you, a liar. But I know him, and I keep his word.
John 8:56	Abraham, your father, rejoiced that he might see my day; he saw it and was glad.”
John 8:57	And so the Jews said to him, “You have not yet reached fifty years, and you have seen Abraham?”
John 8:58	Jesus said to them, “Amen, amen, I say to you, before Abraham was made, I am.”
John 8:59	Therefore, they took up stones to cast at him. But Jesus hid himself, and he departed from the temple.
John 9:1	And Jesus, while passing by, saw a man blind from birth.
John 9:2	And his disciples asked him, “Rabbi, who sinned, this man or his parents, that he would be born blind?”
John 9:3	Jesus responded: “Neither this man nor his parents sinned, but it was so that the works of God would be made manifest in him.
John 9:4	I must work the works of him who sent me, while it is day: the night is coming, when no one is able to work.
John 9:5	As long as I am in the world, I am the light of the world.”
John 9:6	When he had said these things, he spat on the ground, and he made clay from the spittle, and he smeared the clay over his eyes.
John 9:7	And he said to him: “Go, wash in the pool of Siloam” (which is translated as: one who has been sent). Therefore, he went away and washed, and he returned, seeing.
John 9:8	And so the bystanders and those who had seen him before, when he was a beggar, said, “Is this not the one who was sitting and begging?” Some said, “This is he.”
John 9:9	But others said, “Certainly not, but he is similar to him.” Yet truly, he himself said, “I am he.”
John 9:10	Therefore, they said to him, “How were your eyes opened?”
John 9:11	He responded: “That man who is called Jesus made clay, and he anointed my eyes and said to me, ‘Go to the pool of Siloam and wash.’ And I went, and I washed, and I see.”
John 9:12	And they said to him, “Where is he?” He said, “I do not know.”
John 9:13	They brought the one who had been blind to the Pharisees.
John 9:14	Now it was the Sabbath, when Jesus made the clay and opened his eyes.
John 9:15	Therefore, again the Pharisees questioned him as to how he had seen. And he said to them, “He placed clay over my eyes, and I washed, and I see.”
John 9:16	And so certain Pharisees said: “This man, who does not keep the Sabbath, is not from God.” But others said, “How could a sinful man accomplish these signs?” And there was a schism among them.
John 9:17	Therefore, they spoke again to the blind man, “What do you say about him who opened your eyes?” Then he said, “He is a Prophet.”
John 9:18	Therefore, the Jews did not believe, about him, that he had been blind and had seen, until they called the parents of him who had seen.
John 9:19	And they questioned them, saying: “Is this your son, whom you say was born blind? Then how is it that he now sees?”
John 9:20	His parents responded to them and said: “We know that this is our son and that he was born blind.
John 9:21	But how it is that he now sees, we do not know. And who opened his eyes, we do not know. Ask him. He is old enough. Let him speak for himself.”
John 9:22	His parents said these things because they were afraid of the Jews. For the Jews had already conspired, so that if anyone were to confess him to be the Christ, he would be expelled from the synagogue.
John 9:23	It was for this reason that his parents said: “He is old enough. Ask him.”
John 9:24	Therefore, they again called the man who had been blind, and they said to him: “Give glory to God. We know that this man is a sinner.”
John 9:25	And so he said to them: “If he is a sinner, I do not know it. One thing I do know, that although I was blind, now I see.”
John 9:26	Then they said to him: “What did he do to you? How did he open your eyes?”
John 9:27	He answered them: “I have already told you, and you heard it. Why do you want to hear it again? Do you also want to become his disciples?”
John 9:28	Therefore, they cursed him and said: “You be his disciple. But we are disciples of Moses.
John 9:29	We know that God spoke to Moses. But this man, we do not know where he is from.”
John 9:30	The man responded and said to them: “Now in this is a wonder: that you do not know where he is from, and yet he has opened my eyes.
John 9:31	And we know that God does not hear sinners. But if anyone is a worshipper of God and does his will, then he heeds him.
John 9:32	From ancient times, it has not been heard that anyone has opened the eyes of someone born blind.
John 9:33	Unless this man were of God, he would not be able to do any such thing.”
John 9:34	They responded and said to him, “You were born entirely in sins, and you would teach us?” And they cast him out.
John 9:35	Jesus heard that they had cast him out. And when he had found him, he said to him, “Do you believe in the Son of God?”
John 9:36	He responded and said, “Who is he, Lord, so that I may believe in him?”
John 9:37	And Jesus said to him, “You have both seen him, and he is the one who is speaking with you.”
John 9:38	And he said, “I believe, Lord.” And falling prostrate, he worshipped him.
John 9:39	And Jesus said, “I came into this world in judgment, so that those who do not see, may see; and so that those who see, may become blind.”
John 9:40	And certain Pharisees, who were with him, heard this, and they said to him, “Are we also blind?”
John 9:41	Jesus said to them: “If you were blind, you would not have sin. Yet now you say, ‘We see.’ So your sin persists.”
John 10:1	“Amen, amen, I say to you, he who does not enter through the door into the fold of the sheep, but climbs up by another way, he is a thief and a robber.
John 10:2	But he who enters through the door is the shepherd of the sheep.
John 10:3	To him the doorkeeper opens, and the sheep hear his voice, and he calls his own sheep by name, and he leads them out.
John 10:4	And when he has sent out his sheep, he goes before them, and the sheep follow him, because they know his voice.
John 10:5	But they do not follow a stranger; instead they flee from him, because they do not know the voice of strangers.”
John 10:6	Jesus spoke this proverb to them. But they did not understand what he was saying to them.
John 10:7	Therefore, Jesus spoke to them again: “Amen, amen, I say to you, that I am the door of the sheep.
John 10:8	All others, as many as have come, are thieves and robbers, and the sheep did not listen to them.
John 10:9	I am the door. If anyone has entered through me, he will be saved. And he shall go in and go out, and he shall find pastures.
John 10:10	The thief does not come, except so that he may steal and slaughter and destroy. I have come so that they may have life, and have it more abundantly.
John 10:11	I am the good Shepherd. The good Shepherd gives his life for his sheep.
John 10:12	But the hired hand, and whoever is not a shepherd, to whom the sheep do not belong, he sees the wolf approaching, and he departs from the sheep and flees. And the wolf ravages and scatters the sheep.
John 10:13	And the hired hand flees, because he is a hired hand and there is no concern for the sheep within him.
John 10:14	I am the good Shepherd, and I know my own, and my own know me,
John 10:15	just as the Father knows me, and I know the Father. And I lay down my life for my sheep.
John 10:16	And I have other sheep that are not of this fold, and I must lead them. They shall hear my voice, and there shall be one sheepfold and one shepherd.
John 10:17	For this reason, the Father loves me: because I lay down my life, so that I may take it up again.
John 10:18	No one takes it away from me. Instead, I lay it down of my own accord. And I have the power to lay it down. And I have the power to take it up again. This is the commandment that I have received from my Father.”
John 10:19	A dissension occurred again among the Jews because of these words.
John 10:20	Then many of them were saying: “He has a demon or he is insane. Why do you listen him?”
John 10:21	Others were saying: “These are not the words of someone who has a demon. How would a demon be able to open the eyes of the blind?”
John 10:22	Now it was the Feast of the Dedication at Jerusalem, and it was winter.
John 10:23	And Jesus was walking in the temple, in the portico of Solomon.
John 10:24	And so the Jews surrounded him and said to him: “How long will you hold our souls in suspense? If you are the Christ, tell us plainly.”
John 10:25	Jesus answered them: “I speak to you, and you do not believe. The works that I do in the name of my Father, these offer testimony about me.
John 10:26	But you do not believe, because you are not of my sheep.
John 10:27	My sheep hear my voice. And I know them, and they follow me.
John 10:28	And I give them eternal life, and they shall not perish, for eternity. And no one shall seize them from my hand.
John 10:29	What my Father gave to me is greater than all, and no one is able to seize from the hand of my Father.
John 10:30	I and the Father are one.”
John 10:31	Therefore, the Jews took up stones, in order to stone him.
John 10:32	Jesus answered them: “I have shown you many good works from my Father. For which of those works do you stone me?”
John 10:33	The Jews answered him: “We do not stone you for a good work, but for blasphemy and because, though you are a man, you make yourself God.”
John 10:34	Jesus responded to them: “Is it not written in your law, ‘I said: you are gods?’
John 10:35	If he called those to whom the word of God was given gods, and Scripture cannot be broken,
John 10:36	why do you say, about him whom the Father has sanctified and sent into the world, ‘You have blasphemed,’ because I said, ‘I am the Son of God?’
John 10:37	If I do not do the works of my Father, do not believe in me.
John 10:38	But if I do them, even if you are not willing to believe in me, believe the works, so that you may know and believe that the Father is in me, and I am in the Father.”
John 10:39	Therefore, they sought to apprehend him, but he escaped from their hands.
John 10:40	And he went again across the Jordan, to that place where John first was baptizing. And he lodged there.
John 10:41	And many went out to him. And they were saying: “Indeed, John accomplished no signs.
John 10:42	But all things whatsoever that John said about this man were true.” And many believed in him.
John 11:1	Now there was a certain sick man, Lazarus of Bethania, from the town of Mary and her sister Martha.
John 11:2	And Mary was the one who anointed the Lord with ointment and wiped his feet with her hair; her brother Lazarus was sick.
John 11:3	Therefore, his sisters sent to him, saying: “Lord, behold, he whom you love is sick.”
John 11:4	Then, upon hearing this, Jesus said to them: “This sickness is not unto death, but for the glory of God, so that the Son of God may be glorified by it.”
John 11:5	Now Jesus loved Martha, and her sister Mary, and Lazarus.
John 11:6	Even so, after he heard that he was sick, he then still remained in the same place for two days.
John 11:7	Then, after these things, he said to his disciples, “Let us go into Judea again.”
John 11:8	The disciples said to him: “Rabbi, the Jews are even now seeking to stone you. And would you go there again?”
John 11:9	Jesus responded: “Are there not twelve hours in the day? If anyone walks in the daylight, he does not stumble, because he sees the light of this world.
John 11:10	But if he walks in the nighttime, he stumbles, because the light is not in him.”
John 11:11	He said these things, and after this, he said to them: “Lazarus our friend is sleeping. But I am going, so that I may awaken him from sleep.”
John 11:12	And so his disciples said, “Lord, if he is sleeping, he shall be healthy.”
John 11:13	But Jesus had spoken about his death. Yet they thought that he spoke about the repose of sleep.
John 11:14	Therefore, Jesus then said to them plainly, “Lazarus has died.
John 11:15	And I am glad for your sake that I was not there, so that you may believe. But let us go to him.”
John 11:16	And then Thomas, who is called the Twin, said to his fellow disciples, “Let us go, too, so that we may die with him.”
John 11:17	And so Jesus went. And he found that he had already been in the tomb for four days.
John 11:18	(Now Bethania was near Jerusalem, about fifteen stadia.)
John 11:19	And many of the Jews had come to Martha and Mary, so as to console them over their brother.
John 11:20	Therefore, Martha, when she heard that Jesus was arriving, went out to meet him. But Mary was sitting at home.
John 11:21	And then Martha said to Jesus: “Lord, if you had been here, my brother would not have died.
John 11:22	But even now, I know that whatever you will request from God, God will give to you.”
John 11:23	Jesus said to her, “Your brother shall rise again.”
John 11:24	Martha said to him, “I know that he shall rise again, at the resurrection on the last day.”
John 11:25	Jesus said to her: “I am the Resurrection and the Life. Whoever believes in me, even though he has died, he shall live.
John 11:26	And everyone who lives and believes in me shall not die for eternity. Do you believe this?”
John 11:27	She said to him: “Certainly, Lord. I have believed that you are the Christ, the Son of the living God, who has come into this world.”
John 11:28	And when she had said these things, she went and called her sister Mary quietly, saying, “The Teacher is here, and he is calling you.”
John 11:29	When she heard this, she rose up quickly and went to him.
John 11:30	For Jesus had not yet arrived in the town. But he was still at that place where Martha had met him.
John 11:31	Therefore, the Jews who were with her in the house and who were consoling her, when they had seen that Mary rose up quickly and went out, they followed her, saying, “She is going to the tomb, so that she may weep there.”
John 11:32	Therefore, when Mary had arrived to where Jesus was, seeing him, she fell down at his feet, and she said to him. “Lord, if you had been here, my brother would not have died.”
John 11:33	And then, when Jesus saw her weeping, and the Jews who had arrived with her weeping, he groaned in spirit and became troubled.
John 11:34	And he said, “Where have you laid him?” They said to him, “Lord, come and see.”
John 11:35	And Jesus wept.
John 11:36	Therefore, the Jews said, “See how much he loved him!”
John 11:37	But some of them said, “Would not he who opened the eyes of one born blind have been able to cause this man not to die?”
John 11:38	Therefore, Jesus, again groaning from within himself, went to the tomb. Now it was a cave, and a stone had been placed over it.
John 11:39	Jesus said, “Take away the stone.” Martha, the sister of him who had died, said to him, “Lord, by now it will smell, for this is the fourth day.”
John 11:40	Jesus said to her, “Did I not say to you that if you believe, you shall see the glory of God?”
John 11:41	Therefore, they took away the stone. Then, lifting up his eyes, Jesus said: “Father, I give thanks to you because you have heard me.
John 11:42	And I know that you always hear me, but I have said this for the sake of the people who are standing nearby, so that they may believe that you have sent me.”
John 11:43	When he had said these things, he cried in a loud voice, “Lazarus, come out.”
John 11:44	And immediately, he who had been dead went forth, bound at the feet and hands with winding bands. And his face was bound with a separate cloth. Jesus said to them, “Release him and let him go.”
John 11:45	Therefore, many of the Jews, who had come to Mary and Martha, and who had seen the things that Jesus did, believed in him.
John 11:46	But certain ones among them went to the Pharisees and told them the things that Jesus had done.
John 11:47	And so, the high priests and the Pharisees gathered a council, and they were saying: “What can we do? For this man accomplishes many signs.
John 11:48	If we leave him alone, in this way all will believe in him. And then the Romans will come and take away our place and our nation.”
John 11:49	Then one of them, named Caiaphas, since he was the high priest that year, said to them: “You do not understand anything.
John 11:50	Nor do you realize that it is expedient for you that one man should die for the people, and that the entire nation should not perish.”
John 11:51	Yet he did not say this from himself, but since he was the high priest that year, he prophesied that Jesus would die for the nation.
John 11:52	And not only for the nation, but in order to gather together as one the children of God who have been dispersed.
John 11:53	Therefore, from that day, they planned to put him to death.
John 11:54	And so, Jesus no longer walked in public with the Jews. But he went into a region near the desert, to a city which is called Ephraim. And he lodged there with his disciples.
John 11:55	Now the Passover of the Jews was near. And many from the countryside ascended to Jerusalem before the Passover, so that they might sanctify themselves.
John 11:56	Therefore, they were seeking Jesus. And they conferred with one another, while standing in the temple: “What do you think? Will he come to the feast day?”
John 11:57	And the high priests and Pharisees had given an order, so that if anyone would know where he may be, he should reveal it, so that they might apprehend him.
John 12:1	Then six days before the Passover, Jesus went to Bethania, where Lazarus had died, whom Jesus raised up.
John 12:2	And they made a dinner for him there. And Martha was ministering. And truly, Lazarus was one of those who were sitting at table with him.
John 12:3	And then Mary took twelve ounces of pure spikenard ointment, very precious, and she anointed the feet of Jesus, and she wiped his feet with her hair. And the house was filled with the fragrance of the ointment.
John 12:4	Then one of his disciples, Judas Iscariot, who was soon to betray him, said,
John 12:5	“Why was this ointment not sold for three hundred denarii and given to the needy?”
John 12:6	Now he said this, not out of concern for the needy, but because he was a thief and, since he held the purse, he used to carry what was put into it.
John 12:7	But Jesus said: “Permit her, so that she may keep it against the day of my burial.
John 12:8	For the poor, you have with you always. But me, you do always not have.”
John 12:9	Now a great multitude of the Jews knew that he was in that place, and so they came, not so much because of Jesus, but so that they might see Lazarus, whom he had raised from the dead.
John 12:10	And the leaders of the priests planned to put Lazarus to death also.
John 12:11	For many of the Jews, because of him, were going away and were believing in Jesus.
John 12:12	Then, on the next day, the great crowd that had come to the feast day, when they had heard that Jesus was coming to Jerusalem,
John 12:13	took branches of palm trees, and they went ahead to meet him. And they were crying out: “Hosanna! Blessed is he who arrives in the name of the Lord, the king of Israel!”
John 12:14	And Jesus found a small donkey, and he sat upon it, just as it is written:
John 12:15	“Do not be afraid, daughter of Zion. Behold, your king arrives, sitting on the colt of a donkey.”
John 12:16	At first, his disciples did not realize these things. But when Jesus was glorified, then they remembered that these things were written about him, and that these things happened to him.
John 12:17	And so the crowd that had been with him, when he called Lazarus from the tomb and raised him from the dead, offered testimony.
John 12:18	Because of this, too, the crowd went out to meet him. For they heard that he had accomplished this sign.
John 12:19	Therefore, the Pharisees said among themselves: “Do you see that we are accomplishing nothing? Behold, the entire world has gone after him.”
John 12:20	Now there were certain Gentiles among those who went up so that they might worship on the feast day.
John 12:21	Therefore, these approached Philip, who was from Bethsaida of Galilee, and they petitioned him, saying: “Sir, we want to see Jesus.”
John 12:22	Philip went and told Andrew. Next, Andrew and Philip told Jesus.
John 12:23	But Jesus answered them by saying: “The hour arrives when the Son of man shall be glorified.
John 12:24	Amen, amen, I say to you, unless the grain of wheat falls to the ground and dies,
John 12:25	it remains alone. But if it dies, it yields much fruit. Whoever loves his life, will lose it. And whoever hates his life in this world, preserves it unto eternal life.
John 12:26	If anyone serves me, let him follow me. And where I am, there too my minister shall be. If anyone has served me, my Father will honor him.
John 12:27	Now my soul is troubled. And what should I say? Father, save me from this hour? But it is for this reason that I came to this hour.
